fecha_consulta,pure_id,uuid,tipo,titulo,autores,person_uuids,total_autores,organizaciones,organizaciones_externas,organizacion_responsable,estatus_publicacion,anio_publicacion,revista,workflow,created_by,created_date,modified_by,modified_date,portal_url,version,system_name,created_date_mty,modified_date_mty,created_day_mty,modified_day_mty,created_month
2026-09-15,13783892,2700e621-8f1d-435a-8c11-0d2f459e05f6,ContributionToJournal,"In overweight and obese women, dietary iron absorption is reduced and the enhancement of iron absorption by ascorbic acid is one-half that in normal-weight women",Ana C. Cepeda-Lopez; Alida Melse-Boonstra; Michael B. Zimmermann; Isabelle Herter-Aeberli,35b6014b-3188-41c0-ba16-483e243015c7,4.0,,ExternalOrganization,,Published,2015,American Journal of Clinical Nutrition,approved,root,2017-11-06 07:57:37.358000+00:00,root,2026-09-15 12:50:12.419646+00:00,https://pure.udem.edu.mx/en/publications/2700e621-8f1d-435a-8c11-0d2f459e05f6,5efe9e05a3f50a3d70e03113db8687cf0cc53a1f,ResearchOutput,2017-11-06 01:57:37.358000-06:00,2026-09-15 06:50:12.419646-06:00,2017-11-06,2026-09-15,2017-11
2026-09-15,14142363,694678b2-8c63-42a2-a828-96e36c88ec7a,ContributionToJournal,Physical and chemical changes undergone by pericarp and endosperm during corn nixtamalization-A review,David Santiago-Ramos; Juan de Dios Figueroa-Cárdenas; Rosa María Mariscal-Moreno; Anayansi Escalante-Aburto; Néstor Ponce-García; José Juan Véles-Medina,4f32b43d-d41c-49ce-a31b-08e1305fdbfc,6.0,,ExternalOrganization,,Published,2018,Journal of Cereal Science,approved,root,2018-09-05 10:47:47.985000+00:00,root,2026-09-15 12:50:08.675617+00:00,https://pure.udem.edu.mx/en/publications/694678b2-8c63-42a2-a828-96e36c88ec7a,b0861c32989e40c671c22f6a805947fbe417b463,ResearchOutput,2018-09-05 05:47:47.985000-05:00,2026-09-15 06:50:08.675617-06:00,2018-09-05,2026-09-15,2018-09
2026-09-15,14142416,55f444ce-6ae3-400e-8ac8-68a09d27db8e,ContributionToJournal,A review on health benefits of kombucha nutritional compounds and metabolites,Jessica Martínez Leal; Lucía Valenzuela Suárez; Rasu Jayabalan; Joselina Huerta Oros; Anayansi Escalante Aburto,8e56bca4-ab62-4df2-8ee7-3bdcd7fdd25a; 4f32b43d-d41c-49ce-a31b-08e1305fdbfc,5.0,,ExternalOrganization,,Published,2018,CYTA - Journal of Food,approved,root,2018-09-05 10:47:48.592000+00:00,root,2026-09-15 12:50:02.434015+00:00,https://pure.udem.edu.mx/en/publications/55f444ce-6ae3-400e-8ac8-68a09d27db8e,e1f3cab84afea77d63943ab8ff24908cfccc3d82,ResearchOutput,2018-09-05 05:47:48.592000-05:00,2026-09-15 06:50:02.434015-06:00,2018-09-05,2026-09-15,2018-09
2026-09-15,14143432,459a97ff-0ea1-4067-a103-1aa1f7fdf7e8,ContributionToJournal,Moderation of phenotypic severity in dystrophic and junctional forms of epidermolysis bullosa through in-frame skipping of exons containing non-sense or frameshift mutations,John A. McGrath; Gabrielle H.S. Ashton; Jemima E. Mellerio; Julio Cesar Salas-Alanis; Ole Swensson; James R. McMillan; Robin A.J. Eady,5fee5dbf-1d99-4050-896c-0f8f63c4c856,7.0,,ExternalOrganization,,Published,1999,Journal of Investigative Dermatology,approved,root,2018-09-05 10:48:10.132000+00:00,root,2026-09-15 12:50:22.770973+00:00,https://pure.udem.edu.mx/en/publications/459a97ff-0ea1-4067-a103-1aa1f7fdf7e8,3cd42babfcbda930d20d793013a7797a171629d7,ResearchOutput,2018-09-05 05:48:10.132000-05:00,2026-09-15 06:50:22.770973-06:00,2018-09-05,2026-09-15,2018-09
2026-09-15,14221263,a906031f-e6db-46d8-9e28-4eec4933679e,ContributionToJournal,Evaluation of the Expression of Genes Associated with Inflammation and Apoptosis in Androgenetic Alopecia by Targeted RNA-Seq,Lizeth Martinez-Jacobo; Claudia I. Ancer-Arellano; Rocio Ortiz-Lopez; Mauricio Salinas-Santander; Cesar Daniel Villarreal-Villarreal; Jesus Ancer-Rodriguez; Bianka Camacho-Zamora; Viviana Zomosa-Signoret; Carlos E. Medina-De La Garza; Jorge Ocampo-Candiani; Augusto Rojas-Martinez,1a508e4b-b274-4fd2-ad32-1c3bde76e783,11.0,,ExternalOrganization,,Published,2018,Skin Appendage Disorders,approved,jaqueline.flores,2018-11-15 22:59:55.235000+00:00,root,2026-09-15 12:50:23.172097+00:00,https://pure.udem.edu.mx/en/publications/a906031f-e6db-46d8-9e28-4eec4933679e,6a60439e62b726424b98555b2ab4bd381b4ffaf5,ResearchOutput,2018-11-15 16:59:55.235000-06:00,2026-09-15 06:50:23.172097-06:00,2018-11-15,2026-09-15,2018-11
2026-09-15,14224277,35fd9950-c6c7-4125-a0ff-e83e37289f9d,ContributionToJournal,"The effects of fat loss after bariatric surgery on inflammation, serum hepcidin, and iron absorption: A prospective 6-mo iron stable isotope study",Ana C. Cepeda-Lopez; Javier Allende-Labastida; Alida Melse-Boonstra; Saskia J.M. Osendarp; Isabelle Herter-Aeberli; Diego Moretti; Ramiro Rodriguez-Lastra; Francisco Gonzalez-Salazar; Salvador Villalpando; Michael B. Zimmermann,35b6014b-3188-41c0-ba16-483e243015c7; 704337c9-5d9f-4b9a-ba0b-02aadda71d36,10.0,,ExternalOrganization,,Published,2016,American Journal of Clinical Nutrition,approved,root,2018-11-20 04:44:39.841000+00:00,root,2026-09-15 12:50:09.034910+00:00,https://pure.udem.edu.mx/en/publications/35fd9950-c6c7-4125-a0ff-e83e37289f9d,5175351f1e9f5fda28b0fd5d9ebcb421b2712499,ResearchOutput,2018-11-19 22:44:39.841000-06:00,2026-09-15 06:50:09.034910-06:00,2018-11-19,2026-09-15,2018-11
2026-09-15,14244618,be7b8846-c0e7-4334-ae21-367a21464e0f,ContributionToJournal,Observation of the decay B&lt;inf&gt;c&lt;/inf&gt;&lt;sup&gt;+&lt;/sup&gt;→B&lt;inf&gt;s&lt;/inf&gt;&lt;sup&gt;0&lt;/sup&gt;π&lt;sup&gt;+&lt;/sup&gt;,R. Aaij; B. Adeva; M. Adinolfi; C. Adrover; A. Affolder; Z. Ajaltouni; J. Albrecht; F. Alessio; M. Alexander; S. Ali; G. Alkhazov; P. Alvarez Cartelle; A. A. Alves; S. Amato; S. Amerio; Y. Amhis; L. Anderlini; J. Anderson; R. Andreassen; J. E. Andrews; R. B. Appleby; O. Aquines Gutierrez; F. Archilli; A. Artamonov; M. Artuso; E. Aslanides; G. Auriemma; M. Baalouch; S. Bachmann; J. J. Back; C. Baesso; V. Balagura; W. Baldini; R. J. Barlow; C. Barschel; S. Barsuk; W. Barter; Th Bauer; A. Bay; J. Beddow; F. Bedeschi; I. Bediaga; S. Belogurov; K. Belous; I. Belyaev; E. Ben-Haim; G. Bencivenni; S. Benson; J. Benton; A. Berezhnoy; R. Bernet; M. O. Bettler; M. Van Beuzekom; A. Bien; S. Bifani; T. Bird; A. Bizzeti; P. M. Bjørnstad; T. Blake; F. Blanc; J. Blouw; S. Blusk; V. Bocci; A. Bondar; N. Bondar; W. Bonivento; S. Borghi; A. Borgia; T. J.V. Bowcock; E. Bowen; C. Bozzi; T. Brambach; J. Van Den Brand; J. Bressieux; D. Brett; M. Britsch; T. Britton; N. H. Brook; H. Brown; A. Bursche; G. Busetto; J. Buytaert; S. Cadeddu; O. Callot; M. Calvi; M. Calvo Gomez; A. Camboni; P. Campana; D. Campora Perez; A. Carbone; G. Carboni; R. Cardinale; A. Cardini; H. Carranza-Mejia; L. Carson; K. Carvalho Akiba; G. Casse,07dddca9-9175-48c8-8bdf-cd694cbed212,97.0,,ExternalOrganization,,Published,2013,Physical Review Letters,approved,root,2018-11-20 04:48:15.566000+00:00,root,2026-09-15 12:50:13.521771+00:00,https://pure.udem.edu.mx/en/publications/be7b8846-c0e7-4334-ae21-367a21464e0f,97397bea7b58789fecebc1140c2be1d64aed86ea,ResearchOutput,2018-11-19 22:48:15.566000-06:00,2026-09-15 06:50:13.521771-06:00,2018-11-19,2026-09-15,2018-11
2026-09-15,14394357,1f23257d-fdeb-46fb-bdf0-b659c310cb50,ContributionToJournal,Saturn's Zonal Winds at Cloud Level,Agustín. Sanchez-Lavega; José F. Rojas; Pedro V. Sada,479b49e2-ff9e-441f-96a2-5c6c00d909a3,3.0,,ExternalOrganization,,Published,2000,Icarus,approved,pedro.valdes,2019-01-30 05:57:29.762000+00:00,root,2026-09-15 12:50:09.867852+00:00,https://pure.udem.edu.mx/en/publications/1f23257d-fdeb-46fb-bdf0-b659c310cb50,387a8f15edf618eedee6a8b1201379f6836aa061,ResearchOutput,2019-01-29 23:57:29.762000-06:00,2026-09-15 06:50:09.867852-06:00,2019-01-29,2026-09-15,2019-01
2026-09-15,14465572,371eae5f-e3d8-4831-8caa-22a7c5de392e,ContributionToJournal,"Retailer's Joint Ordering, Pricing, and Preservation Technology Investment Policies for a Deteriorating Item under Permissible Delay in Payments",Umakanta Mishra; Jacobo Tijerina-Aguilera; Sunil Tiwari; Leopoldo Eduardo Cárdenas-Barrón,3b024320-e732-460a-857e-48c4ecb0d81d; adcd9810-41dc-4aad-963e-5620c218c002,4.0,,ExternalOrganization,,Published,2018,Mathematical Problems in Engineering,approved,cecilia.perez,2019-02-26 22:10:10.478000+00:00,root,2026-09-15 12:50:03.358510+00:00,https://pure.udem.edu.mx/en/publications/371eae5f-e3d8-4831-8caa-22a7c5de392e,f40315f1f78487edf672ce549e6f74c34dae4909,ResearchOutput,2019-02-26 16:10:10.478000-06:00,2026-09-15 06:50:03.358510-06:00,2019-02-26,2026-09-15,2019-02
2026-09-15,15252361,d0919e8c-ab76-4cfc-8d3d-f09c391f1fe8,ContributionToJournal,Evidence for differences in immunologic and pathogenesis properties of herpes simplex virus 2 strains from the United States and South Africa,Ernesto Torres López; Timothy E Dudek; David M Knipe; Clyde Crumpacker,fdd10597-e3d9-4ed5-b050-50e581e6eced,4.0,,ExternalOrganization,,Published,2011,Journal of Infectious Diseases,approved,ernesto.torres,2019-08-02 20:30:20.433000+00:00,root,2026-09-15 12:50:10.537119+00:00,https://pure.udem.edu.mx/en/publications/d0919e8c-ab76-4cfc-8d3d-f09c391f1fe8,8770b553c802fb9635d8c8cb6c69849e8dde724b,ResearchOutput,2019-08-02 15:30:20.433000-05:00,2026-09-15 06:50:10.537119-06:00,2019-08-02,2026-09-15,2019-08
