fecha_consulta,pure_id,uuid,tipo,titulo,autores,person_uuids,total_autores,organizaciones,organizaciones_externas,organizacion_responsable,estatus_publicacion,anio_publicacion,revista,workflow,created_by,created_date,modified_by,modified_date,portal_url,version,system_name,created_date_mty,modified_date_mty,created_day_mty,modified_day_mty,created_month
2026-05-28,85468619,98201754-7a0a-41a1-a093-2585257d3012,ContributionToBookAnthology,Competitive subluminal LIV limits from ultra-high energy astrophysics,Rodrigo Guedes Lang; Humberto Martínez-Huerta; Vitor de Souza,39551e8c-89fd-4c72-a543-524f1c70e6a9,3.0,,ExternalOrganization,,Published,2019,,forApproval,root,2026-05-28 07:38:36.719407+00:00,root,2026-05-28 07:39:38.322724+00:00,https://pure.udem.edu.mx/en/publications/98201754-7a0a-41a1-a093-2585257d3012,7f90e2a147b89d36258d71ca2e0b94613d8dfe4b,ResearchOutput,2026-05-28 01:38:36.719407-06:00,2026-05-28 01:39:38.322724-06:00,2026-05-28,2026-05-28,2026-05
2026-05-28,85468657,536f7bf1-ab39-468d-bb1a-2928e82df432,ContributionToBookAnthology,Structured observer-based controller for delayed systems with two unstable poles and minimum phase zeros.,Carlos Daniel Vázquez; David Novella; Basilio Del Muro; Olivier Sename; Luc Dugard; Juan Francisco Márquez,4d268627-5de0-4371-ba4c-73ee45239349,6.0,,ExternalOrganization,,Published,2019,,forApproval,root,2026-05-28 07:38:40.160807+00:00,root,2026-05-28 07:39:44.750633+00:00,https://pure.udem.edu.mx/en/publications/536f7bf1-ab39-468d-bb1a-2928e82df432,88f6506a0dd0f59ca136052ac358009ea085e069,ResearchOutput,2026-05-28 01:38:40.160807-06:00,2026-05-28 01:39:44.750633-06:00,2026-05-28,2026-05-28,2026-05
2026-05-28,85468708,b9266986-79fc-4269-9e88-9704ed948fbc,ContributionToBookAnthology,Increase of the production lines' performance in a chewing gum confectionery,Mariana García-Carrasco; Paulina Guerrero-Kim; Verónica Esper-Safi; Jenny Díaz-Ramírez,eb6953c6-05f0-40cd-8cf2-b76e615083b4,4.0,,ExternalOrganization,,Published,2020,,approved,root,2026-05-28 07:38:42.139613+00:00,root,2026-05-28 07:40:06.737201+00:00,https://pure.udem.edu.mx/en/publications/b9266986-79fc-4269-9e88-9704ed948fbc,124e05bf97c0f694cc16096d0d11532e1b3355f2,ResearchOutput,2026-05-28 01:38:42.139613-06:00,2026-05-28 01:40:06.737201-06:00,2026-05-28,2026-05-28,2026-05
2026-05-28,85468796,e3e88b5f-0dac-4111-9f82-b07ec3c0c1e3,ContributionToBookAnthology,AEROSITE,Ladislav Chytka; Dušan Mandát; Miroslav Pech; Daniel Staník; Jakub Vícha; Petr Trávníček; Martina Boháčová; Petr Tobiška; Tomasz Bulik; Marek Cieślar; Mariusz Suchenek; P. Abreu; A. Albert; E. O. Angüner; C. Arcaro; L. H. Arnaldi; J. C. Arteaga-Velázquez; P. Assis; A. Bakalová; U. Barres de Almeida; I. Batković; J. Bellido; E. Belmont-Moreno; F. Bisconti; A. Blanco; E. Bottacini; T. Bretz; C. Brisbois; P. Brogueira; A. M. Brown; K. S. Caballero Mora; S. M. Campos; A. Chiavassa; R. Conceição; G. Consolati; J. Cotzomi Paleta; S. Dasso; A. De Angelis; C. R. De Bom; E. de la Fuente; V. de Souza; D. Depaoli; G. Di Sciascio; C. O. Dib; D. Dorner; M. Doro; M. Du Vernois; T. Ergin; K. L. Fan; H. Martínez-Huerta,39551e8c-89fd-4c72-a543-524f1c70e6a9,128.0,,ExternalOrganization,,Published,2022,,approved,root,2026-05-28 07:38:45.159097+00:00,root,2026-05-28 07:40:06.895196+00:00,https://pure.udem.edu.mx/en/publications/e3e88b5f-0dac-4111-9f82-b07ec3c0c1e3,19cf67baef4883cb32e745df4164976f15ebe2a6,ResearchOutput,2026-05-28 01:38:45.159097-06:00,2026-05-28 01:40:06.895196-06:00,2026-05-28,2026-05-28,2026-05
2026-05-28,85468949,451abb33-8eeb-4fde-a5d7-41ce7d0f7da2,ContributionToBookAnthology,CTA sensitivity for probing cosmology and fundamental physics with gamma rays,I. Vovk; J. Biteau; H. Martinez-Huerta; M. Meyer; S. Pita; H. Abdalla; H. Abe; F. Acero; A. Acharyya; R. Adam; I. Agudo; A. Aguirre-Santaella; R. Alfaro; J. Alfaro; C. Alispach; R. Aloisio; R. Alves Batista; L. Amati; E. Amato; G. Ambrosi; E. O. Angüner; A. Araudo; T. Armstrong; F. Arqueros; L. Arrabito; K. Asano; Y. Ascasíbar; M. Ashley; M. Backes; C. Balazs; M. Balbo; B. Balmaverde; A. Baquero Larriva; V. Barbosa Martins; M. Barkov; L. Baroncelli; U. Barres de Almeida; J. A. Barrio; P. I. Batista; J. Becerra González; Y. Becherini; G. Beck; J. Becker Tjus; R. Belmont; W. Benbow; E. Bernardini; A. Berti; M. Berton; B. Bertucci; V. Beshley,39551e8c-89fd-4c72-a543-524f1c70e6a9,499.0,,ExternalOrganization,,Published,2022,,approved,root,2026-05-28 07:38:50.501263+00:00,root,2026-05-28 07:39:52.993953+00:00,https://pure.udem.edu.mx/en/publications/451abb33-8eeb-4fde-a5d7-41ce7d0f7da2,a710d0e061f329e3087f967a190ec32c99d91f06,ResearchOutput,2026-05-28 01:38:50.501263-06:00,2026-05-28 01:39:52.993953-06:00,2026-05-28,2026-05-28,2026-05
2026-05-28,85469027,1e24a1f3-3f16-4b9f-9739-4a157f941e74,ContributionToBookAnthology,Inventory supply model for perishable products - The Calicarnes case,Ivan Daniel Mesias; Fernando Alberto Osorio; Jenny Díaz-Ramírez,eb6953c6-05f0-40cd-8cf2-b76e615083b4,3.0,,ExternalOrganization,,Published,2017,,approved,root,2026-05-28 07:38:53.342825+00:00,root,2026-05-28 07:40:00.163751+00:00,https://pure.udem.edu.mx/en/publications/1e24a1f3-3f16-4b9f-9739-4a157f941e74,d3ffb479b6027f287af6b627264662340016b816,ResearchOutput,2026-05-28 01:38:53.342825-06:00,2026-05-28 01:40:00.163751-06:00,2026-05-28,2026-05-28,2026-05
2026-05-28,85469065,5f41bb4a-0479-47ce-a98d-282c455ee1b9,ContributionToBookAnthology,Gamma/hadron discrimination using a small-WCD with four PMTs,R. Conceição; P. Assis; F. Assunção; A. Bakalová; U. Barres de Almeida; C. R. Bom; J. Correia; A. De Angelis; L. Dias; B. S. González; A. Guillén; G. La Mura; N. Lourenço; P. Machado; S. Marques; L. Mendes; M. Pimenta; R. Shellard; B. Tomé; J. Vicha; P. Abreu; A. Albert; E. O. Angüner; C. Arcaro; L. H. Arnaldi; J. C. Arteaga-Velázquez; I. Batković; J. Bellido; E. Belmont-Moreno; F. Bisconti; A. Blanco; M. Bohacova; E. Bottacini; T. Bretz; C. Brisbois; P. Brogueira; A. M. Brown; T. Bulik; K. S. Caballero Mora; S. M. Campos; A. Chiavassa; L. Chytka; G. Consolati; J. Cotzomi Paleta; S. Dasso; C. R. De Bom; E. de la Fuente; V. de Souza; D. Depaoli; H. Martínez-Huerta,39551e8c-89fd-4c72-a543-524f1c70e6a9,132.0,,ExternalOrganization,,Published,2022,,approved,root,2026-05-28 07:38:55.697980+00:00,root,2026-05-28 07:40:00.338324+00:00,https://pure.udem.edu.mx/en/publications/5f41bb4a-0479-47ce-a98d-282c455ee1b9,f28e81a3171f4b84b12b6ded4d090d5155949314,ResearchOutput,2026-05-28 01:38:55.697980-06:00,2026-05-28 01:40:00.338324-06:00,2026-05-28,2026-05-28,2026-05
2026-05-28,85469174,13729e39-3710-40db-ac13-ac478c69b64c,ContributionToConference,Description and comparison of non-smooth bifurcations in a ramp-controlled and sine-controlled buck converter,Jose D. Morcillo B.; Gerard Olivar,730f5a53-85ee-4238-9b96-44211433a8dd,2.0,,ExternalOrganization,,Published,2012,,forApproval,root,2026-05-28 07:38:58.417812+00:00,root,2026-05-28 07:40:00.497305+00:00,https://pure.udem.edu.mx/en/publications/13729e39-3710-40db-ac13-ac478c69b64c,fd7def22938b941b35d4db2fef0cd09bd5cd0d46,ResearchOutput,2026-05-28 01:38:58.417812-06:00,2026-05-28 01:40:00.497305-06:00,2026-05-28,2026-05-28,2026-05
2026-05-28,85469204,7848d04f-6616-4bf2-b95c-c2398282d824,ContributionToBookAnthology,Fabrication of Alvarez Lenses Prototypes Using a 3D Printer,Dulce Gonzalez-Utrera; Brenda Villalobos-Mendoza; Daniel Aguirre-Aguirre,6e202184-0ace-4fc1-b00a-93ea16f046a3,3.0,,ExternalOrganization,,Published,2022,,approved,root,2026-05-28 07:38:59.476111+00:00,root,2026-05-28 07:39:44.927956+00:00,https://pure.udem.edu.mx/en/publications/7848d04f-6616-4bf2-b95c-c2398282d824,150c298ba7f30d8884238209eab2a771d9d66aa2,ResearchOutput,2026-05-28 01:38:59.476111-06:00,2026-05-28 01:39:44.927956-06:00,2026-05-28,2026-05-28,2026-05
2026-05-28,85469239,7c29ff4b-017a-4919-8449-68bdc935edb2,ContributionToBookAnthology,"Combined dark matter searches towards dwarf spheroidal galaxies with Fermi-LAT, HAWC, H.E.S.S., MAGIC, and VERITAS",Eric Charles; Mattia di Mauro; Chiara Giuri; Daniel Salazar-Gallegos; Benjamin Zitzer; A. U. Abeysekara; A. Albert; R. Alfaro; C. Alvarez; J. D. Álvarez; J. R. Angeles Camacho; J. C. Arteaga-Velázquez; K. P. Arunbabu; D. Avila Rojas; H. A. Ayala Solares; R. Babu; V. Baghmanyan; A. S. Barber; J. Becerra Gonzalez; E. Belmont-Moreno; S. Y. BenZvi; D. Berley; C. Brisbois; K. S. Caballero-Mora; T. Capistrán; A. Carramiñana; S. Casanova; O. Chaparro-Amaro; U. Cotti; J. Cotzomi; S. Coutiño de León; E. De la Fuente; C. de León; L. Diaz-Cruz; R. Diaz Hernandez; J. C. Díaz-Vélez; B. L. Dingus; M. Durocher; M. A. DuVernois; R. W. Ellsworth; K. Engel; C. Espinoza; K. L. Fan; K. Fang; M. Fernández Alonso; B. Fick; H. Fleischhack; J. L. Flores; N. I. Fraija; H. Martínez-Huerta,39551e8c-89fd-4c72-a543-524f1c70e6a9,617.0,,ExternalOrganization,,Published,2022,,approved,root,2026-05-28 07:39:01.760978+00:00,root,2026-05-28 07:39:45.111555+00:00,https://pure.udem.edu.mx/en/publications/7c29ff4b-017a-4919-8449-68bdc935edb2,3c6895ba5d4d85bc95eca40ca533cc9a8dca9867,ResearchOutput,2026-05-28 01:39:01.760978-06:00,2026-05-28 01:39:45.111555-06:00,2026-05-28,2026-05-28,2026-05
