fecha,total_research_outputs,nuevos_hoy,modificados_hoy,con_autores,con_organizacion_responsable,fecha_maxima_creacion,fecha_maxima_modificacion,con_organizaciones
2026-04-24,6084,2,133,6084,0,2026-04-24 01:04:25.568000-06:00,2026-04-24 11:30:44.939000-06:00,0.0
2026-04-25,6087,2,25,6087,0,2026-04-25 01:05:29.708000-06:00,2026-04-25 01:05:29.708000-06:00,0.0
2026-04-26,6087,0,21,6087,0,2026-04-25 01:05:29.708000-06:00,2026-04-26 01:04:31.806000-06:00,0.0
2026-04-27,6091,4,5,6091,0,2026-04-27 01:03:54.914000-06:00,2026-04-27 01:03:54.914000-06:00,0.0
2026-04-28,6092,0,54,6092,0,2026-04-27 10:14:24.134000-06:00,2026-04-28 04:10:38.119000-06:00,0.0
2026-04-29,6090,2,4,6090,0,2026-04-29 01:04:38.331000-06:00,2026-04-29 01:04:38.331000-06:00,0.0
2026-04-30,6091,1,39,6091,0,2026-04-30 01:04:55.771000-06:00,2026-04-30 08:57:44.789000-06:00,0.0
2026-05-01,6092,0,5,6092,0,2026-04-30 11:52:09.869000-06:00,2026-05-01 01:04:20.385000-06:00,0.0
2026-05-02,6093,1,2,6093,0,2026-05-02 01:03:35.626000-06:00,2026-05-02 01:03:35.626000-06:00,0.0
2026-05-03,6094,1,3,6094,0,2026-05-03 01:04:41.972000-06:00,2026-05-03 01:04:41.972000-06:00,0.0
2026-05-04,6094,0,0,6094,0,2026-05-03 01:04:41.972000-06:00,2026-05-03 18:35:58.344000-06:00,0.0
2026-05-06,6095,0,2,6095,0,2026-05-05 01:03:31.948000-06:00,2026-05-06 01:04:32.149000-06:00,0.0
2026-05-07,6095,0,78,6095,0,2026-05-05 01:03:31.948000-06:00,2026-05-07 07:19:08.367187-06:00,0.0
2026-05-08,6098,1,3,6098,0,2026-05-08 01:05:25.231047-06:00,2026-05-08 01:05:25.231047-06:00,0.0
2026-05-09,6098,0,3,6098,0,2026-05-08 01:05:25.231047-06:00,2026-05-09 01:04:39.167022-06:00,0.0
2026-05-10,6098,0,6,6098,0,2026-05-08 01:05:25.231047-06:00,2026-05-10 01:03:07.118353-06:00,0.0
2026-05-11,6100,2,10,6100,0,2026-05-11 01:03:13.514071-06:00,2026-05-11 06:12:28.923002-06:00,0.0
2026-05-12,6103,1,125,6103,0,2026-05-12 08:26:34.123524-06:00,2026-05-12 08:26:34.123524-06:00,0.0
2026-05-13,6110,5,40,6110,0,2026-05-13 01:07:47.468231-06:00,2026-05-13 01:07:53.879720-06:00,0.0
2026-05-14,6110,0,157,6110,0,2026-05-13 01:07:47.468231-06:00,2026-05-14 01:26:25.174835-06:00,0.0
2026-05-15,6111,1,6,6111,0,2026-05-15 01:04:39.180501-06:00,2026-05-15 06:15:47.163295-06:00,0.0
2026-05-16,6112,1,5,6112,0,2026-05-16 01:04:35.208226-06:00,2026-05-16 01:04:35.208226-06:00,0.0
