created_month,total
2017-11,297
2018-09,115
2018-10,66
2018-11,580
2018-12,26
2019-01,161
2019-02,109
2019-03,81
2019-04,326
2019-05,66
2019-06,26
2019-07,307
2019-08,63
2019-09,30
2019-10,36
2019-11,40
2019-12,97
2020-01,107
2020-02,27
2020-03,49
2020-04,72
2020-05,37
2020-06,44
2020-07,14
2020-08,38
2020-09,37
2020-10,18
2020-11,28
2020-12,25
2021-01,153
2021-02,7
2021-03,15
2021-04,8
2021-05,6
2021-06,16
2021-07,15
2021-08,19
2021-09,20
2021-10,17
2021-11,15
2021-12,44
2022-01,147
2022-02,15
2022-03,27
2022-04,8
2022-05,56
2022-06,33
2022-07,40
2022-08,22
2022-09,27
2022-10,13
2022-11,352
2022-12,18
2023-01,19
2023-02,6
2023-03,31
2023-04,23
2023-05,120
2023-06,25
2023-07,5
2023-08,13
2023-09,8
2023-10,39
2023-11,213
2023-12,22
2024-01,156
2024-02,17
2024-03,11
2024-04,26
2024-05,47
2024-06,25
2024-07,15
2024-08,44
2024-09,21
2024-10,29
2024-11,74
2024-12,68
2025-01,112
2025-02,160
2025-03,35
2025-04,9
2025-05,48
2025-06,24
2025-07,39
2025-08,54
2025-09,23
2025-10,38
2025-11,29
2025-12,59
2026-01,81
2026-02,162
2026-03,110
2026-04,26
NaT,6
